Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,Updated,Notes,ReferenceURL,Reference
Intel,Mobileye EyeQ5,EyeQ5,1.20E+13,int8,5,dataflow,inference,Chip,NE,,7/13/21,Expected release in March 2021,https://www.blaize.com/wp-content/uploads/2020/09/Blaize-Ignites-Edge-AI-Performance.pdf,demler2020blaize
Intel,Movidius Myriad X,MovidiusX,1.00E+12,int16,2,manycore,inference,Chip,SE,Hide,6/9/20,,https://www.extremetech.com/computing/254772-new-movidius-myriad-x-vpu-packs-custom-neural-compute-engine,hruska2017new
Intel,Nervana Lake Crest,Nervana1,3.80E+13,fp32,210,manycore,training,Card,SE,Hide,6/9/20,Hide,https://newsroom.intel.com/editorials/artificial-intelligence-requires-holistic-approach/,_rao2018beyond
Intel,Nervana Spring Crest,Nervana2,1.20E+14,fp16.32,210,manycore,inference,Card,SE,Hide,6/9/20,Hide,https://newsroom.intel.com/editorials/artificial-intelligence-requires-holistic-approach/,_rao2018beyond
Intel,Xeon Platinum 8180,2xXeon8180,4.48E+12,fp32,205,multicore,training,Chip,SW,Hide,6/14/20,,https://www.anandtech.com/show/14466/intel-xeon-cascade-lake-vs-nvidia-turing;http://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208180.html,degelas2019intel;cpuworld2020xeon8180
Intel,Xeon Platinum 8180,2xXeon8280,3.87E+13,int8,205,multicore,inference,Chip,SW,Hide,6/14/20,,https://www.anandtech.com/show/14466/intel-xeon-cascade-lake-vs-nvidia-turing;http://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208280.html,degelas2019intel;cpuworld2020xeon8280
Kalray,Coolidge,Kalray,3.00E+12,fp16.32,20,manycore,inference,Chip,E,Hide,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kalray,Coolidge,Kalray,1.00E+12,fp32,20,manycore,inference,Chip,SE,Hide,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kalray,Coolidge,Kalray,2.40E+13,int8.32,20,manycore,inference,Chip,NW,,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kneron,KL520 Neural Processing Unit,KL520,3.00E+11,int8,0.5,dataflow,inference,Chip,NW,Hide,6/2/20,,https://www.eetasia.com/knerons-next-gen-edge-ai-chip-gets-40m-boost/,ward2020kneron
Kneron,KL720,KL720,1.40E+12,int8,1.556,dataflow,inference,Chip,SW,,6/2/21,,https://www.eetimes.com/kneron-attracts-strategic-investors/,ward2021kneron
Maxim,Max 78000,Maxim,5.60E+10,int8,0.028,dataflow,inference,Chip,SW,,7/10/22,,https://www.eetimes.com/maxim-debuts-homegrown-ai-accelerator-in-latest-ulp-soc/;_https://www.linleygroup.com/newsletters/newsletter_detail.php?num=6274&year=2021&tag=3;_https://doi.org/10.1117/12.2622390,ward2020maxim;jani2021maxim;clay2022benchmarking
Microsoft,Brainwave,Brainwave,2.00E+12,int8,150,dataflow,inference,Chip,NE,Hide,6/13/20,,https://www.nextplatform.com/2017/08/24/drilling-microsofts-brainwave-soft-deep-leaning-chip/,morgan2017drilling
MIT,Eyeriss,Eyeriss,6.72E+10,int16,0.278,dataflow,inference,Chip,S,Hide,6/9/20,,https://doi.org/10.1109/MM.2017.265085944;https://doi.org/10.1109/JSSC.2016.2616357;https://doi.org/10.1109/JPROC.2017.2761740,chen2018eyeriss;chen2017eyeriss;sze2017efficient
MIT,Netcast,Netcast,1.00E+13,int8,0.001,dataflow,inference,Chip,NE,Hide,5/4/22,Not truly embedded,https://arxiv.org/ftp/arxiv/papers/2203/2203.05466.pdf,sludds2022delocalized
Mythic,M1076,Mythic76,2.50E+13,analog,3,PIM,inference,Chip,SW,,6/30/21,,https://www.eetimes.com/mythic-resizes-its-analog-ai-chip/;https://www.nextplatform.com/2018/08/23/a-mythic-approach-to-deep-learning-inference/;https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,ward2021mythic;hemsoth2018mythic;fick2018mythic
Mythic,M1108,Mythic108,3.50E+13,analog,4,PIM,inference,Chip,NE,,6/30/21,,https://www.eetimes.com/mythic-resizes-its-analog-ai-chip/;https://www.nextplatform.com/2018/08/23/a-mythic-approach-to-deep-learning-inference/;https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,ward2021mythic;hemsoth2018mythic;fick2018mythic
NovuMind,NovuTensor,NovuMind,1.50E+13,int8,15,dataflow,inference,Chip,SE,,6/13/20,,https://moorinsightsstrategy.com/wp-content/uploads/2019/05/NovuMind-An-Early-Entrant-in-AI-Silicon-By-Moor-Insights-And-Strategy.pdf;https://www.eetimes.com/novuminds-ai-chip-sparks-controversy/,freund2019novumind;yoshida2018novumind
NVIDIA,Ampere A10,A10,1.25E+14,fp16.32,150,GPU,inference,Card,SW,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,Ampere A100,A100,3.12E+14,fp16.32,400,GPU,training,Card,SE,,6/9/20,,https://devblogs.nvidia.com/nvidia-ampere-architecture-in-depth/,krashinsky2020nvidia
NVIDIA,Ampere A30,A30,1.65E+14,fp16.32,165,GPU,inference,Card,NW,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,Ampere A40,A40,1.50E+14,fp16.32,300,GPU,inference,Card,NE,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,DGX Station,DGX-Station,4.80E+14,fp16.32,1500,GPU,training,System,SE,,6/9/20,,"https://www.tomshardware.com/news/nvidia-volta-v100-dgx-1-hgx-1,34380.html",alcorn2017nvidia
NVIDIA,DGX-1,DGX-1,9.00E+14,fp16.32,3500,GPU,training,System,SE,,6/9/20,,"https://www.tomshardware.com/news/nvidia-volta-v100-dgx-1-hgx-1,34380.html;https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k",alcorn2017nvidia;cutress2018nvidias
NVIDIA,DGX-2,DGX-2,1.92E+15,fp16.32,10000,GPU,training,System,NW,,6/9/20,,https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k,cutress2018nvidias
NVIDIA,DGX-A100,DGX-A100,5.00E+15,fp16.32,6500,GPU,training,System,NE,,6/14/20,,https://devblogs.nvidia.com/defining-ai-innovation-with-dgx-a100/,campa2020defining
NVIDIA,H100,H100,1.00E+15,fp16.32,700,GPU,training,Card,SE,,7/5/22,Need to update when Hopper releases,https://www.anandtech.com/show/17327/nvidia-hopper-gpu-architecture-and-h100-accelerator-announced,smith2022nvidia
NVIDIA,Jetson AGX Xavier,XavierAGX,1.10E+13,fp16,30,GPU,inference,System,NE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson AGX Xavier,XavierAGX,3.20E+13,int8,30,GPU,inference,System,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson NX Orin,OrinNX,5.00E+13,int8,25,GPU,inference,System,SW,,7/10/22,,https://www.hothardware.com/news/nvidia-jetson-agx-orin;_https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,"funk2022nvidia,nvidia2022embedded"
NVIDIA,Jetson AGX Orin,OrinAGX,1.38E+14,int8,60,GPU,inference,System,SW,,7/10/22,,https://www.hothardware.com/news/nvidia-jetson-agx-orin;_https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,"funk2022nvidia,nvidia2022embedded"
NVIDIA,Jetson TX1,Jetson1,4.08E+11,fp16.32,11.7,GPU,inference,System,SW,,6/9/20,,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,franklin2017nvidia
NVIDIA,Jetson TX2,Jetson2,5.80E+11,fp16.32,12.8,GPU,inference,System,SE,,6/9/20,,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,franklin2017nvidia
NVIDIA,Jetson Xavier NX,XavierNX,6.00E+12,fp16,15,GPU,inference,System,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson Xavier NX,XavierNX,2.10E+13,int8,15,GPU,inference,System,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,DRIVE AGX L2,AGX-L2,2.00E+14,int8,45,GPU,inference,System,SE,,7/9/22,,https://hothardware.com/news/nvidia-drive-agx-pegasus-orin-ampere-next-gen-autonomous-cars,hill2020nvidia
NVIDIA,DRIVE AGX L5,AGX-L5,2.00E+15,int8,800,GPU,inference,System,SE,,7/9/22,,https://hothardware.com/news/nvidia-drive-agx-pegasus-orin-ampere-next-gen-autonomous-cars,hill2020nvidia
NVIDIA,Pascal P100,P100,2.12E+13,fp16.32,300,GPU,training,Card,SE,,6/29/21,,https://www.nvidia.com/en-us/data-center/tesla-p100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,pascal2018nvidia;smith201816gb
NVIDIA,T4,T4,1.31E+14,int8,150,GPU,inference,Card,NW,,6/9/20,,https://devblogs.nvidia.com/nvidia-turing-architecture-in-depth/,kilgariff2018nvidia
NVIDIA,Volta V100,V100,1.25E+14,fp16.32,300,GPU,training,Card,SE,,6/9/20,,https://www.nvidia.com/en-us/data-center/tesla-v100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,volta2019nvidia;smith201816gb
Perceive,Ergo,Perceive,4.00E+12,int8,7.27E-02,dataflow,inference,Chip,NW,,6/2/20,concurrent low-power video and audio processing,https://www.forbes.com/sites/tiriasresearch/2020/04/06/perceive-exits-stealth-with-super-efficient-machine-learning-chip-for-smarter-devices/#1b25ab646d9c,mcgregor2020perceive
PEZY Computing,PEZY-SC2,PEZY-SC2,8.19E+12,fp32,546.13,manycore,training,System,SE,Hide,6/2/20,,https://fuse.wikichip.org/news/191/the-2048-core-pezy-sc2-sets-a-green500-record/,schor2017pezy
Preferred Networks,MN-3,Preferred-MN-3,5.24E+02,fp16,500,multicore,training,Card,SE,,6/2/20,,https://projects.preferred.jp/mn-core/en/;https://www.anandtech.com/show/15177/preferred-networks-a-500-w-custom-pcie-card-using-3000-mm2-silicon,"preferred2020mncore, cutress2019preferred"
Quadric,q1-64,Quadric,6.24E+12,int8,12,dataflow,inference,Chip,SW,,6/13/20,no peak,https://quadric.io/supercomputing.pdf,firu2019quadric
Qualcomm,Cloud AI 100,Qcomm,4.00E+14,int8,75,dataflow,inference,Card,NE,,7/1/21,,https://www.eetimes.com/qualcomm-cloud-ai-100-promises-impressive-performance-per-watt-for-near-edge-ai/;https://www.eetimes.com/qualcomm-targets-ai-inferencing-in-the-cloud/#,ward2020qualcomm;mcgrath2019qualcomm
Rockchip,RK3399Pro,RK3399Pro,2.40E+12,int8,3,dataflow,inference,Chip,SW,,6/9/20,,https://www.rock-chips.com/a/en/News/Press_Releases/2018/0108/869.html,rockchip2018rockchip
SiMa.ai,SiMa.ai,SiMa.ai,9.12E+12,int8,4,dataflow,inference,Chip,SW,,6/14/20,no peak,https://www.linleygroup.com/uploads/sima-machine-learning-moves-to-the-edge-wp.pdf,gwennap2020machine
Stanford,EIE,EIE,1.02E+11,int16,0.6,dataflow,inference,Chip,S,Hide,6/15/20,,http://ieeexplore.ieee.org/document/7551397/,han2016eie
Stanford,TETRIS,Tetris,1.28E+11,int16,8.42,dataflow,inference,Chip,N,Hide,6/15/20,,https://dl.acm.org/doi/10.1145/3093337.3037702,gao2017tetris
Syntiant,NDP101,Syntiant,2.00E+11,int4.8,1.00E-02,PIM,inference,Chip,SE,,6/2/20,"4-bit weights, 8-bit activations",https://www.eetimes.com/tech-heavyweights-back-ai-chip-startup/;https://www.eetimes.com/document.asp?doc_id=1334301,mcgrath2018tech;merritt2018syntiant
Tachyum,Prodigy,Tachyum,1.20E+16,fp16.32,9.50E+02,CPU,training,Chip,NE,,7/6/22,,https://www.tomshardware.com/news/tachyum-teases-128-core-cpu-57-ghz-950w-16-ddr5-channels,shilov2022tachyum
Tenstorrent,Tenstorrent,Tenstorrent,3.68E+14,int8,75,multicore,inference,Card,SW,,6/13/20,,https://www.tenstorrent.com/wp-content/uploads/2020/04/Tenstorrent-Scales-AI-Performance.pdf,gwennap2020tenstorrent
Tesla,Tesla Full Self-Driving Computer,Tesla,7.20E+13,int8,72,dataflow,inference,System,NW,,6/9/20,,https://doi.org/10.1109/MM.2020.2975764;https://en.wikichip.org/wiki/tesla_(car_company)/fsd_chip,talpes2020compute;wikichip2020fsd
Texas Instruments,TDA4VM,TexInst,8.00E+12,int8,20,dataflow,inference,Chip,SE,,6/29/21,Includes onboard C7x DSP,https://www.eetimes.com/tis-first-automotive-soc-with-an-ai-accelerator-launches/;https://www.ti.com/lit/gpn/tda4vm;https://www.linleygroup.com/newsletters/newsletter_detail.php?num=6130&year=2020&tag=3,ward2020ti;ti2021tda4vm;demler2020ti
Toshiba,2015,Toshiba,2.00E+13,int8,10,multicore,inference,System,NE,,6/13/20,,https://www.eetimes.com/samsung-toshiba-detail-ai-chips/,merritt2019samsung
Tsinghua,Tianjic,Tianjic,1.21E+12,int8,0.95,neuromorphic,inference,Chip,S,Hide,6/13/20,ANN/SNN research chip,http://www.nature.com/articles/s41586-019-1424-8,pei2019towards
Untether,TsunAImi,TsunAImi,2.00E+15,int8,400,PIM,inference,Card,SW,,9/2/21,,https://www.linleygroup.com/newsletters/hewsletter_detail.php?num=6230,gwennap2020untether
XMOS,xcore.ai,xcore.ai,5.12E+10,int8,1,dataflow,inference,Chip,SE,Hide,6/5/20,,https://www.eetimes.com/xmos-adapts-xcore-into-aiot-crossover-processor/#,ward2020xmos